LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Gurgaon,2015,Maruti,Alto K10 VXI,Manual,"1,29,709 km",Petrol,1st Owner,"₹2,58,699"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"1,13,889 km",Diesel,1st Owner,"₹3,96,599"
Gurgaon,2010,Hyundai,i10 MAGNA 1.2 KAPPA2,Manual,"2,53,637 km",Petrol,1st Owner,"₹1,92,799"
Gurgaon,2013,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"1,13,303 km",Diesel,2nd Owner,"₹3,35,599"
Gurgaon,2018,Hyundai,Elite i20 ASTA 1.4 CRDI,Manual,"74,100 km",Diesel,2nd Owner,"₹7,28,099"
Gurgaon,2012,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"1,08,018 km",Diesel,1st Owner,"₹3,66,699"
Gurgaon,2015,Maruti,Swift VXI,Manual,"88,553 km",Petrol,1st Owner,"₹4,72,199"
Gurgaon,2011,Maruti,Ritz VXI BS IV,Manual,"90,722 km",Petrol,1st Owner,"₹2,97,299"
Gurgaon,2012,Maruti,Wagon R 1.0 LXI,Manual,"94,696 km",Petrol,3rd Owner,"₹2,35,699"
Gurgaon,2013,Maruti,Swift VDI,Manual,"1,18,272 km",Diesel,3rd Owner,"₹3,32,899"
Gurgaon,2012,Maruti,Swift ZDI,Manual,"1,36,700 km",Diesel,1st Owner,"₹3,22,399"
Gurgaon,2011,Volkswagen,Polo TRENDLINE 1.2L PETROL,Manual,"86,336 km",Petrol,2nd Owner,"₹2,33,899"
Gurgaon,2019,Maruti,Alto LXI,Manual,"1,370 km",Petrol,1st Owner,"₹3,15,999"
Gurgaon,2016,Maruti,Alto 800 LXI,Manual,"30,140 km",Petrol,1st Owner,"₹3,17,499"
Gurgaon,2017,Maruti,Baleno ALPHA 1.2 K12,Manual,"32,936 km",Petrol,1st Owner,"₹5,71,599"
Gurgaon,2014,Hyundai,Eon ERA PLUS,Manual,"47,707 km",Petrol,2nd Owner,"₹2,04,299"
Gurgaon,2019,Maruti,Swift VXI,Manual,"25,529 km",Petrol,1st Owner,"₹6,44,099"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"43,895 km",Petrol,2nd Owner,"₹3,66,499"
Gurgaon,2010,Maruti,Zen Estilo LXI,Manual,"65,057 km",Petrol,1st Owner,"₹1,99,499"
Gurgaon,2015,Maruti,Swift VDI ABS,Manual,"1,20,975 km",Diesel,1st Owner,"₹3,75,199"
Gurgaon,2013,Hyundai,Eon ERA PLUS,Manual,"1,13,870 km",Petrol,1st Owner,"₹2,32,199"
Gurgaon,2015,Tata,Nano XT TWIST,Manual,"26,554 km",Petrol,1st Owner,"₹1,23,499"
Gurgaon,2014,Maruti,Alto 800 VXI,Manual,"5,383 km",Petrol,1st Owner,"₹2,85,699"
Gurgaon,2020,Maruti,Baleno SIGMA 1.2 K12,Manual,"4,151 km",Petrol,1st Owner,"₹5,66,199"
Gurgaon,2019,Tata,Tiago XZ+ 1.2 Revotron,Manual,"6,631 km",Petrol,2nd Owner,"₹4,63,699"
Gurgaon,2019,Maruti,Swift VXI AMT,Automatic,"3,778 km",Petrol,1st Owner,"₹6,42,899"
Gurgaon,2016,Hyundai,Eon ERA PLUS,Manual,"14,776 km",Petrol,1st Owner,"₹2,79,599"
Gurgaon,2017,Maruti,Swift VXI,Manual,"15,891 km",Petrol,1st Owner,"₹5,74,399"
Gurgaon,2016,Renault,Kwid RXT,Manual,"23,421 km",Petrol,1st Owner,"₹2,75,199"
Gurgaon,2011,Hyundai,i20 MAGNA O 1.2,Manual,"44,007 km",Petrol,1st Owner,"₹2,58,999"
Gurgaon,2017,Maruti,Baleno ALPHA 1.2 K12,Manual,"19,675 km",Petrol,2nd Owner,"₹5,98,899"
Gurgaon,2011,Maruti,Ritz VXI BS IV,Manual,"36,916 km",Petrol,1st Owner,"₹2,40,499"
Gurgaon,2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"33,941 km",Petrol,1st Owner,"₹3,45,199"
Gurgaon,2017,Renault,Kwid RXL1.0 EASY-R AT,,"32,258 km",Petrol,1st Owner,"₹3,02,999"
Gurgaon,2016,Hyundai,Elite i20 ASTA 1.2,Manual,"32,797 km",Petrol,2nd Owner,"₹5,46,899"
Gurgaon,2013,Maruti,Ritz VXI BS IV,Manual,"36,846 km",Petrol,2nd Owner,"₹3,07,199"
Gurgaon,2011,Hyundai,i20 SPORTZ 1.2 O,Manual,"48,874 km",Petrol,1st Owner,"₹2,64,199"
Gurgaon,2017,Datsun,Redi Go T (O),Manual,"27,979 km",Petrol,1st Owner,"₹2,44,199"
Gurgaon,2016,Maruti,Wagon R 1.0 VXI AMT,Automatic,"57,087 km",Petrol,1st Owner,"₹3,26,999"
Gurgaon,2014,Maruti,Celerio VXI,Manual,"43,574 km",Petrol,1st Owner,"₹3,07,299"
Gurgaon,2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"22,836 km",Petrol,1st Owner,"₹3,84,399"
Gurgaon,2019,Tata,Tiago XZ 1.2 REVOTRON,Manual,"5,074 km",Petrol,1st Owner,"₹5,22,799"
Gurgaon,2017,Maruti,Swift VDI ABS,Manual,"16,646 km",Diesel,1st Owner,"₹4,79,299"
Gurgaon,2017,Maruti,Alto K10 VXI (O) AMT,,"20,764 km",Petrol,2nd Owner,"₹3,60,999"
Gurgaon,2014,Maruti,Wagon R 1.0 VXI,Manual,"29,007 km",Petrol,1st Owner,"₹2,94,699"
Gurgaon,2019,Tata,Tiago XZA 1.2 REVOTRON,,"15,712 km",Petrol,1st Owner,"₹4,56,099"
Gurgaon,2018,Maruti,Swift VXI,Manual,"11,550 km",Petrol,1st Owner,"₹5,18,899"
Gurgaon,2016,Maruti,Alto K10 VXI,Manual,"18,003 km",Petrol,1st Owner,"₹3,22,899"
Gurgaon,2016,Maruti,Baleno DELTA 1.2 K12,Manual,"35,013 km",Petrol,1st Owner,"₹4,74,999"
