LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2012,Maruti,Ertiga VXI,Manual,"37,786 km",Petrol,1st Owner,"₹4,15,000"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"47,562 km",Diesel,2nd Owner,"₹3,99,142"
New Delhi,2015,Honda,Mobilio 1.5 S I DTEC,Manual,"52,945 km",Diesel,1st Owner,"₹4,55,000"
New Delhi,2019,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"31,235 km",Diesel,1st Owner,"₹18,00,000"
New Delhi,2019,Maruti,Ertiga ZDI PLUS,Manual,"30,079 km",Diesel,1st Owner,"₹10,00,000"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,515 km",Petrol,1st Owner,"₹7,60,000"
New Delhi,2012,Mahindra,Quanto C6,Manual,"98,051 km",Diesel,1st Owner,"₹2,35,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"73,120 km",Diesel,1st Owner,"₹5,25,000"
New Delhi,2015,Mahindra,TUV300 T8,Manual,"95,349 km",Diesel,1st Owner,"₹4,89,283"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,227 km",Diesel,1st Owner,"₹5,53,450"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"65,281 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2015,Mahindra,TUV300 T8,Manual,"49,754 km",Diesel,1st Owner,"₹5,55,954"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"21,098 km",Diesel,1st Owner,"₹7,16,295"
New Delhi,2013,Renault,Duster RXZ DIESEL 110,Manual,"65,552 km",Diesel,2nd Owner,"₹3,65,000"
New Delhi,2019,Maruti,XL6 ALPHA AT SHVS,,"13,552 km",Petrol,1st Owner,"₹10,83,430"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"55,471 km",Diesel,1st Owner,"₹6,75,000"
New Delhi,2017,Tata,Hexa Varicor 400 XT,Manual,"60,118 km",Diesel,1st Owner,"₹11,70,000"
New Delhi,2017,Mahindra,TUV300 T8,Manual,"94,756 km",Diesel,1st Owner,"₹5,90,237"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"95,965 km",Diesel,2nd Owner,"₹4,95,000"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID AT,Automatic,"18,250 km",Petrol,1st Owner,"₹10,85,000"
New Delhi,2013,Tata,Safari Storme 2.2 LX 4X2,Manual,"87,317 km",Diesel,2nd Owner,"₹3,50,000"
New Delhi,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"18,572 km",Petrol,1st Owner,"₹9,65,000"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"35,109 km",Petrol + CNG,2nd Owner,"₹3,69,406"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"52,393 km",Diesel,1st Owner,"₹8,60,000"
New Delhi,2018,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,051 km",Petrol,1st Owner,"₹11,75,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS LIMITED EDITION,Manual,"60,190 km",Diesel,1st Owner,"₹7,25,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"58,620 km",Diesel,1st Owner,"₹7,50,000"
New Delhi,2018,Maruti,Ertiga VXI CNG,Manual,"77,241 km",Petrol + CNG,1st Owner,"₹8,20,000"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,11,759 km",Diesel,2nd Owner,"₹5,45,000"
New Delhi,2012,Maruti,Ertiga VXI,Manual,"37,635 km",Petrol,1st Owner,"₹4,05,000"
New Delhi,2016,Mahindra,Kuv100 K8 6 STR,Manual,"50,242 km",Petrol,1st Owner,"₹3,85,000"
New Delhi,2020,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,,"6,188 km",Petrol,1st Owner,"₹11,25,000"
New Delhi,2018,Nissan,Terrano XE 85 PS DEISEL,Manual,"25,838 km",Diesel,1st Owner,"₹6,60,000"
New Delhi,2017,Mahindra,Scorpio S6 PLUS,Manual,"1,13,177 km",Diesel,2nd Owner,"₹9,73,197"
New Delhi,2019,Renault,TRIBER 1.0 RXT,Manual,"15,442 km",Petrol,1st Owner,"₹5,49,000"
New Delhi,2016,Mahindra,Kuv100 K6 D 5 STR,Manual,"59,373 km",Diesel,1st Owner,"₹3,45,000"
New Delhi,2017,Renault,Duster RXS CVT 106 PS,Automatic,"14,211 km",Petrol,1st Owner,"₹7,24,178"
New Delhi,2018,Maruti,Ertiga VXI,Manual,"26,966 km",Petrol,1st Owner,"₹7,70,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,,"16,928 km",Petrol,1st Owner,"₹12,90,000"
New Delhi,2014,Renault,Duster RXE PETROL 104,Manual,"74,719 km",Petrol,1st Owner,"₹4,10,000"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"35,109 km",Petrol + CNG,2nd Owner,"₹3,69,406"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"52,393 km",Diesel,1st Owner,"₹8,60,000"
New Delhi,2018,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,051 km",Petrol,1st Owner,"₹11,75,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS LIMITED EDITION,Manual,"60,190 km",Diesel,1st Owner,"₹7,25,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"58,620 km",Diesel,1st Owner,"₹7,50,000"
New Delhi,2018,Maruti,Ertiga VXI CNG,Manual,"77,241 km",Petrol + CNG,1st Owner,"₹8,20,000"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,11,759 km",Diesel,2nd Owner,"₹5,45,000"
New Delhi,2012,Maruti,Ertiga VXI,Manual,"37,635 km",Petrol,1st Owner,"₹4,05,000"
New Delhi,2016,Mahindra,Kuv100 K8 6 STR,Manual,"50,242 km",Petrol,1st Owner,"₹3,85,000"
New Delhi,2020,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,,"6,188 km",Petrol,1st Owner,"₹11,25,000"
New Delhi,2018,Nissan,Terrano XE 85 PS DEISEL,Manual,"25,838 km",Diesel,1st Owner,"₹6,60,000"
New Delhi,2017,Mahindra,Scorpio S6 PLUS,Manual,"1,13,177 km",Diesel,2nd Owner,"₹9,73,197"
New Delhi,2018,Mahindra,Thar CRDE 4X4 BS IV,Manual,"6,055 km",Diesel,1st Owner,"₹8,75,000"
New Delhi,2013,Renault,Duster RXE PETROL 104,Manual,"28,989 km",Petrol,1st Owner,"₹5,25,000"
New Delhi,2015,Ford,Ecosport 1.5 TREND TDCI,Manual,"58,354 km",Diesel,1st Owner,"₹5,20,000"
New Delhi,2016,Nissan,Terrano XL P,Manual,"38,949 km",Petrol,2nd Owner,"₹5,25,000"
New Delhi,2018,Tata,NEXON XZ+ 1.2,Manual,"15,705 km",Petrol,1st Owner,"₹8,20,000"
New Delhi,2019,Renault,TRIBER 1.0 RXT,Manual,"34,291 km",Petrol,1st Owner,"₹5,99,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"56,858 km",Diesel,1st Owner,"₹5,13,143"
New Delhi,2019,Mahindra,Thar CRDE 4X4 BS IV,Manual,"6,609 km",Diesel,1st Owner,"₹10,00,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"39,051 km",Diesel,1st Owner,"₹8,00,000"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"55,672 km",Diesel,1st Owner,"₹7,40,191"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"73,674 km",Diesel,1st Owner,"₹7,50,712"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,39,686 km",Diesel,2nd Owner,"₹5,52,000"
New Delhi,2013,Mahindra,Scorpio SLE BS IV,Manual,"1,19,461 km",Diesel,1st Owner,"₹4,05,000"
New Delhi,2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"29,492 km",Diesel,1st Owner,"₹15,00,000"
New Delhi,2019,Renault,TRIBER RXE MT PETROL,Manual,"46,064 km",Petrol,1st Owner,"₹4,46,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,Manual,"9,697 km",Petrol,1st Owner,"₹11,85,000"
New Delhi,2017,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"38,926 km",Petrol,1st Owner,"₹10,75,000"
New Delhi,2019,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"23,051 km",Petrol + CNG,1st Owner,"₹4,69,399"
New Delhi,2012,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"78,059 km",Diesel,1st Owner,"₹5,49,399"
New Delhi,2016,Maruti,Eeco 5 STR WITH AC PLUS HTR,Manual,"39,695 km",Petrol,2nd Owner,"₹3,34,499"
New Delhi,2019,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"16,832 km",Petrol,1st Owner,"₹8,99,099"
New Delhi,2013,Ford,Ecosport 1.5 TREND TDCI,Manual,"62,253 km",Diesel,1st Owner,"₹3,77,899"
New Delhi,2019,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"18,721 km",Diesel,1st Owner,"₹8,95,499"
New Delhi,2016,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"53,896 km",Petrol,1st Owner,"₹6,60,899"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"35,796 km",Diesel,1st Owner,"₹6,94,699"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"76,169 km",Diesel,1st Owner,"₹4,12,699"
New Delhi,2020,Maruti,Vitara Brezza ZXI AT SHVS,,"13,764 km",Petrol,1st Owner,"₹9,75,499"
New Delhi,2015,Mahindra,Scorpio S8,Manual,"60,362 km",Diesel,2nd Owner,"₹8,37,799"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel MT,Manual,"51,238 km",Diesel,1st Owner,"₹16,99,099"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"70,187 km",Diesel,1st Owner,"₹5,80,699"
New Delhi,2015,Renault,Duster 85 PS RXL OPT,Manual,"80,599 km",Diesel,1st Owner,"₹4,88,999"
New Delhi,2014,Renault,Duster 85 PS RXL OPT,Manual,"83,433 km",Diesel,1st Owner,"₹3,85,899"
New Delhi,2016,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,087 km",Petrol,1st Owner,"₹10,26,399"
New Delhi,2013,Renault,Duster 85 PS RXE,Manual,"80,353 km",Diesel,1st Owner,"₹3,69,999"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,,"43,362 km",Diesel,1st Owner,"₹10,23,399"
New Delhi,2015,Maruti,S Cross ZETA 1.3,Manual,"90,019 km",Diesel,1st Owner,"₹5,58,999"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"43,933 km",Diesel,1st Owner,"₹7,01,199"
New Delhi,2016,Mahindra,Scorpio S10,Manual,"51,569 km",Diesel,1st Owner,"₹9,92,699"
New Delhi,2017,Toyota,Innova Crysta 2.4 GX 7 STR,Manual,"37,516 km",Diesel,2nd Owner,"₹14,76,599"
New Delhi,2017,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,,"79,368 km",Diesel,1st Owner,"₹6,80,399"
New Delhi,2013,Renault,Duster 85 PS RXE,Manual,"84,715 km",Diesel,2nd Owner,"₹3,82,699"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,,"51,273 km",Diesel,1st Owner,"₹9,18,099"
New Delhi,2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"95,231 km",Diesel,1st Owner,"₹6,66,199"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"96,076 km",Diesel,1st Owner,"₹3,85,999"
New Delhi,2015,Renault,Duster 85 PS RXE,Manual,"88,542 km",Diesel,1st Owner,"₹4,31,099"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"1,01,529 km",Diesel,1st Owner,"₹6,41,099"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"92,788 km",Diesel,1st Owner,"₹6,48,699"
New Delhi,2015,Maruti,S Cross SIGMA 1.3,Manual,"95,369 km",Diesel,1st Owner,"₹6,08,999"
New Delhi,2017,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"89,348 km",Diesel,1st Owner,"₹15,27,399"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"24,325 km",Diesel,1st Owner,"₹9,67,299"
New Delhi,2017,Hyundai,Creta 1.4 E PLUS CRDI,,"63,228 km",Diesel,1st Owner,"₹8,02,499"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"1,99,241 km",Diesel,1st Owner,"₹8,14,799"
New Delhi,2019,Renault,TRIBER 1.0 RXL PETROL,Manual,"7,704 km",Petrol,1st Owner,"₹4,73,499"
New Delhi,2021,Maruti,Vitara Brezza LXI,Manual,"9,102 km",Petrol,1st Owner,"₹7,56,500"
New Delhi,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"25,687 km",Petrol,2nd Owner,"₹6,57,599"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"41,721 km",Petrol + CNG,1st Owner,"₹3,61,999"
New Delhi,2019,Maruti,Ertiga VXI SMART HYBRID,,"21,301 km",Petrol,1st Owner,"₹7,95,199"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"29,804 km",Diesel,1st Owner,"₹8,09,899"
New Delhi,2019,Hyundai,VENUE SX(O) CRDi,,"43,939 km",Diesel,1st Owner,"₹9,55,399"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"69,639 km",Diesel,2nd Owner,"₹5,88,399"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"77,103 km",Diesel,1st Owner,"₹7,16,799"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"78,346 km",Diesel,1st Owner,"₹6,14,599"
New Delhi,2016,Hyundai,Creta 1.6 SX PLUS VTVT,Manual,"76,794 km",Petrol,1st Owner,"₹7,31,099"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"97,503 km",Diesel,2nd Owner,"₹3,36,699"
New Delhi,2018,Maruti,Vitara Brezza LDI OPT,Manual,"74,994 km",Diesel,1st Owner,"₹6,07,799"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"1,02,689 km",Diesel,1st Owner,"₹6,81,499"
New Delhi,2017,Honda,BR-V 1.5 i- DTEC V,Manual,"1,09,885 km",Diesel,1st Owner,"₹6,10,699"
New Delhi,2016,Mahindra,TUV300 T8 DUAL TONE,Manual,"1,40,838 km",Diesel,2nd Owner,"₹4,75,199"
New Delhi,2017,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"86,981 km",Diesel,1st Owner,"₹6,66,399"
New Delhi,2016,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"78,409 km",Diesel,1st Owner,"₹15,13,199"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"89,751 km",Diesel,1st Owner,"₹7,83,099"
New Delhi,2012,Maruti,Ertiga VDI,Manual,"96,560 km",Diesel,1st Owner,"₹4,59,299"
New Delhi,2019,Maruti,Eeco 7 STR,Manual,"9,372 km",Petrol,1st Owner,"₹3,90,699"
New Delhi,2017,Toyota,Innova Crysta 2.4 GX 7 STR,Manual,"1,33,126 km",Diesel,2nd Owner,"₹11,74,099"
New Delhi,2016,Maruti,S Cross ALPHA 1.6,Manual,"1,17,222 km",Diesel,1st Owner,"₹5,63,299"
New Delhi,2019,Toyota,Innova Crysta 2.4 GX 7 STR,Manual,"39,762 km",Diesel,1st Owner,"₹15,96,699"
New Delhi,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"8,454 km",Petrol,1st Owner,"₹4,25,399"
New Delhi,2013,Maruti,Ertiga VDI ABS,Manual,"39,203 km",Diesel,1st Owner,"₹4,81,899"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"54,422 km",Petrol + CNG,2nd Owner,"₹3,33,899"
New Delhi,2016,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"37,548 km",Petrol,2nd Owner,"₹6,50,899"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"33,572 km",Diesel,1st Owner,"₹7,05,799"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"42,210 km",Diesel,2nd Owner,"₹6,29,399"
New Delhi,2015,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"45,613 km",Diesel,1st Owner,"₹8,34,399"
New Delhi,2015,Maruti,S Cross ALPHA 1.3,Manual,"72,075 km",Diesel,2nd Owner,"₹5,29,799"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"93,113 km",Diesel,1st Owner,"₹4,20,699"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"19,254 km",Diesel,1st Owner,"₹8,88,299"
New Delhi,2017,Honda,WR-V 1.2 i-VTEC S MT,Manual,"60,288 km",Petrol,1st Owner,"₹5,82,499"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"41,289 km",Diesel,1st Owner,"₹7,63,799"
New Delhi,2017,Maruti,S Cross ALPHA SHVS,Manual,"86,066 km",Diesel,1st Owner,"₹8,50,699"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"67,617 km",Diesel,1st Owner,"₹6,64,099"
New Delhi,2018,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"46,874 km",Diesel,1st Owner,"₹8,35,899"
New Delhi,2019,Maruti,Vitara Brezza VDI AMT,Manual,"51,814 km",Diesel,1st Owner,"₹8,98,099"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"83,717 km",Diesel,1st Owner,"₹15,33,099"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,109 km",Diesel,1st Owner,"₹7,02,299"
New Delhi,2013,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"83,737 km",Petrol,1st Owner,"₹4,80,299"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"83,924 km",Petrol,2nd Owner,"₹7,80,799"
New Delhi,2018,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"78,027 km",Diesel,2nd Owner,"₹10,59,099"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"1,21,293 km",Diesel,1st Owner,"₹4,53,899"
New Delhi,2015,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"73,147 km",Diesel,2nd Owner,"₹8,52,799"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"88,190 km",Diesel,2nd Owner,"₹6,76,899"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,12,846 km",Diesel,3rd Owner,"₹5,53,099"
New Delhi,2015,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"76,940 km",Diesel,2nd Owner,"₹7,11,599"
New Delhi,2014,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"69,781 km",Diesel,1st Owner,"₹9,94,499"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"1,11,613 km",Diesel,1st Owner,"₹5,35,999"
New Delhi,2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"1,46,339 km",Diesel,1st Owner,"₹5,78,999"
New Delhi,2014,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"1,52,824 km",Diesel,1st Owner,"₹6,87,699"
New Delhi,2012,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"2,43,904 km",Diesel,1st Owner,"₹5,32,499"
New Delhi,2017,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"89,348 km",Diesel,1st Owner,"₹15,27,399"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"24,325 km",Diesel,1st Owner,"₹9,67,299"
New Delhi,2017,Hyundai,Creta 1.4 E PLUS CRDI,,"63,228 km",Diesel,1st Owner,"₹8,02,499"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"1,99,241 km",Diesel,1st Owner,"₹8,14,799"
New Delhi,2019,Renault,TRIBER 1.0 RXL PETROL,Manual,"7,704 km",Petrol,1st Owner,"₹4,73,499"
New Delhi,2021,Maruti,Vitara Brezza LXI,Manual,"9,102 km",Petrol,1st Owner,"₹7,56,500"
New Delhi,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"25,687 km",Petrol,2nd Owner,"₹6,57,599"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"41,721 km",Petrol + CNG,1st Owner,"₹3,61,999"
New Delhi,2019,Maruti,Ertiga VXI SMART HYBRID,,"21,301 km",Petrol,1st Owner,"₹7,95,199"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"29,804 km",Diesel,1st Owner,"₹8,09,899"
New Delhi,2019,Hyundai,VENUE SX(O) CRDi,,"43,939 km",Diesel,1st Owner,"₹9,55,399"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"69,639 km",Diesel,2nd Owner,"₹5,88,399"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"77,103 km",Diesel,1st Owner,"₹7,16,799"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"78,346 km",Diesel,1st Owner,"₹6,14,599"
New Delhi,2016,Hyundai,Creta 1.6 SX PLUS VTVT,Manual,"76,794 km",Petrol,1st Owner,"₹7,31,099"
New Delhi,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"97,503 km",Diesel,2nd Owner,"₹3,36,699"
New Delhi,2018,Maruti,Vitara Brezza LDI OPT,Manual,"74,994 km",Diesel,1st Owner,"₹6,07,799"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"1,02,689 km",Diesel,1st Owner,"₹6,81,499"
New Delhi,2017,Honda,BR-V 1.5 i- DTEC V,Manual,"1,09,885 km",Diesel,1st Owner,"₹6,10,699"
New Delhi,2016,Mahindra,TUV300 T8 DUAL TONE,Manual,"1,40,838 km",Diesel,2nd Owner,"₹4,75,199"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"53,895 km",Diesel,1st Owner,"₹7,26,699"
New Delhi,2017,Mahindra,Bolero Power+ ZLX Micro Hybrid,Manual,"99,643 km",Diesel,1st Owner,"₹6,68,199"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"20,519 km",Diesel,1st Owner,"₹7,45,799"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID,,"8,326 km",Petrol,1st Owner,"₹9,02,699"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"49,800 km",Diesel,2nd Owner,"₹5,07,399"
New Delhi,2014,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"59,818 km",Diesel,1st Owner,"₹4,30,799"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"26,170 km",Diesel,1st Owner,"₹7,36,799"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"24,035 km",Diesel,2nd Owner,"₹8,17,999"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"35,429 km",Diesel,1st Owner,"₹7,89,299"
New Delhi,2020,Maruti,Vitara Brezza ZXI AT SHVS,Automatic,"20,024 km",Petrol,1st Owner,"₹10,77,699"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"46,304 km",Diesel,1st Owner,"₹8,06,399"
New Delhi,2019,Hyundai,Creta 1.4 E PLUS CRDI,,"31,604 km",Diesel,1st Owner,"₹9,74,299"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"40,769 km",Diesel,1st Owner,"₹6,99,199"
New Delhi,2018,Mahindra,Scorpio S7 140 BHP 2WD,Manual,"36,232 km",Diesel,1st Owner,"₹11,55,199"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"38,872 km",Diesel,1st Owner,"₹8,23,599"
New Delhi,2016,Mahindra,Scorpio S10,Manual,"54,407 km",Diesel,1st Owner,"₹10,20,899"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"79,275 km",Diesel,1st Owner,"₹7,23,399"
New Delhi,2017,Hyundai,Creta 1.4 E PLUS CRDI,,"83,404 km",Diesel,2nd Owner,"₹7,37,899"
New Delhi,2012,Renault,Duster 85 PS RXL,Manual,"97,044 km",Diesel,2nd Owner,"₹3,52,399"
New Delhi,2017,Maruti,Eeco 7 STR,Manual,"1,05,847 km",Petrol + CNG,1st Owner,"₹2,84,599"
New Delhi,2016,Maruti,S Cross ALPHA 1.6,Manual,"82,459 km",Diesel,1st Owner,"₹5,41,499"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"14,657 km",Diesel,1st Owner,"₹9,95,918"
New Delhi,2016,Renault,Duster RXS 85 PS,Manual,"91,857 km",Diesel,2nd Owner,"₹5,16,099"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"98,132 km",Diesel,1st Owner,"₹6,39,699"
New Delhi,2015,Hyundai,Creta 1.6 SX CRDI,,"80,247 km",Diesel,1st Owner,"₹7,35,299"
New Delhi,2017,Maruti,Vitara Brezza ZDI,Manual,"95,064 km",Diesel,1st Owner,"₹8,30,199"
New Delhi,2013,Maruti,Ertiga VDI ABS,Manual,"1,12,228 km",Diesel,1st Owner,"₹4,53,899"
New Delhi,2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"1,13,657 km",Diesel,1st Owner,"₹8,47,399"
New Delhi,2015,Hyundai,Creta 1.6 SX CRDI,,"1,17,182 km",Diesel,1st Owner,"₹7,81,999"
New Delhi,2015,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"1,11,562 km",Diesel,1st Owner,"₹7,88,399"
New Delhi,2015,Maruti,Ertiga VDI ABS,Manual,"1,23,016 km",Diesel,1st Owner,"₹5,91,399"
New Delhi,2014,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,90,850 km",Diesel,1st Owner,"₹6,26,599"
New Delhi,2017,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"56,230 km",Petrol + CNG,1st Owner,"₹3,04,399"
New Delhi,2018,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"20,795 km",Diesel,2nd Owner,"₹15,49,099"
New Delhi,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"40,788 km",Diesel,1st Owner,"₹7,91,499"
New Delhi,2013,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"78,866 km",Diesel,1st Owner,"₹6,21,199"
New Delhi,2014,Toyota,Innova 2.5 VX 7 STR BS IV,Manual,"1,01,927 km",Diesel,1st Owner,"₹7,05,899"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID,Manual,353 km,Petrol,1st Owner,"₹9,26,299"
New Delhi,2016,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"33,936 km",Petrol + CNG,2nd Owner,"₹5,95,299"
New Delhi,2014,Maruti,Ertiga VDI ABS,Manual,"53,854 km",Diesel,1st Owner,"₹4,72,699"
New Delhi,2016,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"64,908 km",Petrol + CNG,2nd Owner,"₹2,74,799"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"32,331 km",Petrol + CNG,1st Owner,"₹3,06,499"
